"parameter","x","component","group","domain","objective","unit","profile_type","axis_label","axis_definition","target","converged","target_attained","objective_basis"
"Steepness",0.55,"Index B","Reference","index",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Index B","Reference","index",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Index B","Reference","index",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Index B","Reference","index",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Index B","Reference","index",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Index B","Reference","index",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Index B","Reference","index",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Index B","Reference","index",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Index B","Reference","index",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Steepness",0.5,"Fishery A","Reference","length",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
"Steepness",0.55,"Fishery A","Reference","length",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Fishery A","Reference","length",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Fishery A","Reference","length",0.249999999999999,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Fishery A","Reference","length",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Fishery A","Reference","length",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Fishery A","Reference","length",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Fishery A","Reference","length",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Fishery A","Reference","length",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Fishery A","Reference","length",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Steepness",0.5,"Fishery B","Reference","length",9,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
"Steepness",0.55,"Fishery B","Reference","length",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Fishery B","Reference","length",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Fishery B","Reference","length",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Fishery B","Reference","length",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Fishery B","Reference","length",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Fishery B","Reference","length",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Fishery B","Reference","length",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Fishery B","Reference","length",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Fishery B","Reference","length",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Steepness",0.5,"Region A","Reference","conditional_age",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
"Steepness",0.55,"Region A","Reference","conditional_age",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Region A","Reference","conditional_age",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Region A","Reference","conditional_age",0.249999999999999,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Region A","Reference","conditional_age",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Region A","Reference","conditional_age",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Region A","Reference","conditional_age",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Region A","Reference","conditional_age",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Region A","Reference","conditional_age",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Region A","Reference","conditional_age",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Steepness",0.5,"Region B","Reference","conditional_age",9,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.5,TRUE,TRUE,"unpenalized"
"Steepness",0.55,"Region B","Reference","conditional_age",6.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.55,TRUE,TRUE,"unpenalized"
"Steepness",0.6,"Region B","Reference","conditional_age",4,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.6,TRUE,TRUE,"unpenalized"
"Steepness",0.65,"Region B","Reference","conditional_age",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.65,TRUE,TRUE,"unpenalized"
"Steepness",0.7,"Region B","Reference","conditional_age",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.7,TRUE,TRUE,"unpenalized"
"Steepness",0.75,"Region B","Reference","conditional_age",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.75,TRUE,TRUE,"unpenalized"
"Steepness",0.8,"Region B","Reference","conditional_age",0,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.8,TRUE,TRUE,"unpenalized"
"Steepness",0.85,"Region B","Reference","conditional_age",0.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.85,TRUE,TRUE,"unpenalized"
"Steepness",0.9,"Region B","Reference","conditional_age",1,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.9,TRUE,TRUE,"unpenalized"
"Steepness",0.95,"Region B","Reference","conditional_age",2.25,"ratio","parameter","Steepness","Profile on the supplied parameter scale.",0.95,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Index","Reference","total",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Index","Reference","total",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Index","Reference","total",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Index","Reference","total",0.249999999999999,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Index","Reference","total",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Index","Reference","total",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Index","Reference","total",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Index","Reference","total",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Index","Reference","total",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Index","Reference","total",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Composition","Reference","total",9,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Composition","Reference","total",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Composition","Reference","total",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Composition","Reference","total",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Composition","Reference","total",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Composition","Reference","total",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Composition","Reference","total",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Composition","Reference","total",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Composition","Reference","total",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Composition","Reference","total",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Index A","Reference","index",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Index A","Reference","index",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Index A","Reference","index",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Index A","Reference","index",0.249999999999999,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Index A","Reference","index",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Index A","Reference","index",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Index A","Reference","index",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Index A","Reference","index",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Index A","Reference","index",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Index A","Reference","index",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Index B","Reference","index",9,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Index B","Reference","index",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Index B","Reference","index",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Index B","Reference","index",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Index B","Reference","index",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Index B","Reference","index",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Index B","Reference","index",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Index B","Reference","index",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Index B","Reference","index",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Index B","Reference","index",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Fishery A","Reference","length",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Fishery A","Reference","length",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Fishery A","Reference","length",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Fishery A","Reference","length",0.249999999999999,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Fishery A","Reference","length",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Fishery A","Reference","length",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Fishery A","Reference","length",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Fishery A","Reference","length",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Fishery A","Reference","length",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Fishery A","Reference","length",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Fishery B","Reference","length",9,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Fishery B","Reference","length",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Fishery B","Reference","length",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Fishery B","Reference","length",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Fishery B","Reference","length",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Fishery B","Reference","length",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Fishery B","Reference","length",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Fishery B","Reference","length",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Fishery B","Reference","length",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Fishery B","Reference","length",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Region A","Reference","conditional_age",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Region A","Reference","conditional_age",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Region A","Reference","conditional_age",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Region A","Reference","conditional_age",0.249999999999999,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Region A","Reference","conditional_age",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Region A","Reference","conditional_age",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Region A","Reference","conditional_age",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Region A","Reference","conditional_age",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Region A","Reference","conditional_age",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Region A","Reference","conditional_age",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
"Average total biomass",1e+06,"Region B","Reference","conditional_age",9,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1e+06,TRUE,TRUE,"unpenalized"
"Average total biomass",1100000,"Region B","Reference","conditional_age",6.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1100000,TRUE,TRUE,"unpenalized"
"Average total biomass",1200000,"Region B","Reference","conditional_age",4,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1200000,TRUE,TRUE,"unpenalized"
"Average total biomass",1300000,"Region B","Reference","conditional_age",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1300000,TRUE,TRUE,"unpenalized"
"Average total biomass",1400000,"Region B","Reference","conditional_age",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1400000,TRUE,TRUE,"unpenalized"
"Average total biomass",1500000,"Region B","Reference","conditional_age",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1500000,TRUE,TRUE,"unpenalized"
"Average total biomass",1600000,"Region B","Reference","conditional_age",0,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1600000,TRUE,TRUE,"unpenalized"
"Average total biomass",1700000,"Region B","Reference","conditional_age",0.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1700000,TRUE,TRUE,"unpenalized"
"Average total biomass",1800000,"Region B","Reference","conditional_age",1,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1800000,TRUE,TRUE,"unpenalized"
"Average total biomass",1900000,"Region B","Reference","conditional_age",2.25,"t","quantity","Average total biomass","Total biomass averaged over the declared model periods, 2001-2020.",1900000,TRUE,TRUE,"unpenalized"
