"metric","x","value","group","x_unit","unit","definition","display_name","fishery","fishery_name","group_label"
"growth",10,99.5065372447681,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",11,100.150803802859,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",12,100.598279906383,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"weight_at_age",1,1.95009969988434,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",2,3.88449393594261,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",3,6.57691412630932,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",4,10.163993398999,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",5,14.8555835492328,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",6,17.0000182321396,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",7,18.6073543794083,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",8,19.7826863419621,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",9,20.6281597080184,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",10,21.2296830694553,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",11,21.6544504508149,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",12,21.9528668918561,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"selectivity",1,2.06115362243856e-09,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",2,2.06115362243856e-09,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",3,2.06112551600758e-09,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",4,7.25489157607301e-05,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",5,0.610521568327061,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",6,5.23687011300716,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",7,5.55222422913296,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",8,4.21216177442251,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",9,3.38360155982066,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",10,2.99156746565566,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",11,2.82457647702534,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",12,2.82457647702534,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",,1,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",1,2.06115362243856e-09,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",2,2.06115362243856e-09,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",3,2.0611414472043e-09,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",4,4.52121193126729e-06,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",5,0.011440388894676,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",6,0.327762734072198,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",7,1.23763791760156,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",8,2.11354311431675,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",9,2.62493865175863,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",10,2.86197048687466,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",11,2.95722470632208,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",12,2.95722470632208,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",,2,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",1,2.06115362243856e-09,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",2,2.06115362243856e-09,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",3,2.06112551600758e-09,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",4,7.25489157607301e-05,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",5,0.610521568327061,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",6,5.23687011300716,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",7,5.55222422913296,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",8,4.21216177442251,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",9,3.38360155982066,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",10,2.99156746565566,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",11,2.82457647702534,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",12,2.82457647702534,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",,3,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",1,2.06115362243856e-09,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",2,2.06115362243856e-09,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",3,2.0611414472043e-09,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",4,4.52121193126729e-06,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",5,0.011440388894676,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",6,0.327762734072198,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",7,1.23763791760156,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",8,2.11354311431675,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",9,2.62493865175863,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",10,2.86197048687466,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",11,2.95722470632208,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",12,2.95722470632208,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",,4,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",1,2.06115362243856e-09,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",2,2.06115362243856e-09,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",3,2.06115362243856e-09,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",4,0.0417922852049031,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",5,0.162081533418379,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",6,0.690672093237283,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",7,1.38211005811996,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",8,1.88132867087561,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",9,2.15741424036249,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",10,2.29081289171394,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",11,2.34987333956878,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",12,2.34987333956878,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",,5,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",1,2.06115362243856e-09,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",2,2.06115362243856e-09,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",3,2.06115362243856e-09,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",4,0.0417922852049031,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",5,0.162081533418379,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",6,0.690672093237283,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",7,1.38211005811996,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",8,1.88132867087561,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",9,2.15741424036249,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",10,2.29081289171394,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",11,2.34987333956878,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",12,2.34987333956878,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",,6,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",1,2.06115362243856e-09,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",2,2.06115362243856e-09,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",3,2.06115362243856e-09,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",4,0.021470005171524,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",5,0.0352035823065937,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",6,0.123120785151439,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",7,0.464698071150439,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",8,1.1326518260945,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",9,1.86159383777359,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",10,2.39162679968023,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",11,2.68691551030889,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",12,2.68691551030889,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",,7,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",1,2.06115362243856e-09,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",2,0.0709635500007081,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",3,0.607377532505296,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",4,1.24181510316149,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",5,1.32691299808262,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",6,1.52162671089754,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",7,1.7041427177397,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",8,1.82160376439592,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",9,1.88371161295774,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",10,1.91178248775324,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",11,1.92212251619389,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",12,1.92212251619389,"Fishery 8","model age class","relative selectivity","Fishery selectivity at age",,8,"8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"selectivity",1,2.06115362243856e-09,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",2,0.000102301052592339,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",3,0.0280237318653814,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",4,0.867175312829134,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",5,2.09576059892755,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",6,2.32696781545932,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",7,2.19999294974279,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",8,2.0763224799203,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",9,2.00530374174254,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",10,1.97205108331762,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",11,1.95948430986681,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",12,1.95948430986681,"Fishery 9","model age class","relative selectivity","Fishery selectivity at age",,9,"9.LL.PICT.1cd","9.LL.PICT.1cd"
"selectivity",1,2.06115362243856e-09,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",2,0.122416111363833,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",3,0.800311009350395,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",4,1.47438814239536,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",5,1.43822660665192,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",6,1.45511802314191,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",7,1.48946605448011,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",8,1.51365192747201,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",9,1.52679902407535,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",10,1.53283640226018,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",11,1.53508733673793,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",12,1.53508733673793,"Fishery 10","model age class","relative selectivity","Fishery selectivity at age",,10,"10.LL.AZ.1cd","10.LL.AZ.1cd"
"selectivity",1,0.283150683094956,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",2,2.18360436782684,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",3,2.0891758359556,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",4,0.216223748801447,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",5,0.0312447327780869,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",6,0.00968693337814605,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",7,0.00524074859787093,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",8,0.00391426982838175,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",9,0.00345555598709346,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",10,0.00330494157891711,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",11,0.00327458449481761,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",12,0.00327458449481761,"Fishery 11","model age class","relative selectivity","Fishery selectivity at age",,11,"11.TR.ALL1c","11.TR.ALL1c"
"selectivity",1,0.114677537468991,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",2,1.07842384945244,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",3,2.65099051135908,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",4,0.900994996746583,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",5,0.299328315380291,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",6,0.148793436221734,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",7,0.10234055977469,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",8,0.0855037723286075,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",9,0.079145983543915,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",10,0.076980974012163,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",11,0.0765390518858157,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",12,0.0765390518858157,"Fishery 12","model age class","relative selectivity","Fishery selectivity at age",,12,"12.TR.All.1d","12.TR.All.1d"
"selectivity",1,2.06115362243856e-09,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",2,0.849300678000429,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",3,2.55259412400824,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",4,1.69129562441467,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",5,0.28000205993902,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
"selectivity",6,0.0650560246730116,"Fishery 13","model age class","relative selectivity","Fishery selectivity at age",,13,"13.DN.All.1cd","13.DN.All.1cd"
