"year","region","gear","value"
1994,"Region 1","Other",0.0588235294117647
1995,"Region 1","Other",0.0602941176470588
1996,"Region 1","Other",0.0617647058823529
1997,"Region 1","Other",0.0632352941176471
1998,"Region 1","Other",0.0647058823529412
1999,"Region 1","Other",0.0661764705882353
2000,"Region 1","Other",0.0676470588235294
2001,"Region 1","Other",0.0691176470588235
2002,"Region 1","Other",0.0705882352941177
2003,"Region 1","Other",0.0720588235294118
2004,"Region 1","Other",0.0735294117647059
2005,"Region 1","Other",0.075
2006,"Region 1","Other",0.0764705882352941
2007,"Region 1","Other",0.0779411764705882
2008,"Region 1","Other",0.0794117647058823
2009,"Region 1","Other",0.0808823529411765
2010,"Region 1","Other",0.0823529411764706
2011,"Region 1","Other",0.0838235294117647
2012,"Region 1","Other",0.0852941176470588
2013,"Region 1","Other",0.086764705882353
2014,"Region 1","Other",0.0882352941176471
2015,"Region 1","Other",0.0897058823529412
2016,"Region 1","Other",0.0911764705882353
2017,"Region 1","Other",0.0926470588235294
2018,"Region 1","Other",0.0941176470588235
2019,"Region 1","Other",0.0955882352941177
2020,"Region 1","Other",0.0970588235294118
2021,"Region 1","Other",0.0985294117647059
2022,"Region 1","Other",0.1
1954,"Region 2","Other",0
1955,"Region 2","Other",0.00117647058823529
1956,"Region 2","Other",0.00235294117647059
1957,"Region 2","Other",0.00352941176470588
1958,"Region 2","Other",0.00470588235294118
1959,"Region 2","Other",0.00588235294117647
1960,"Region 2","Other",0.00705882352941177
1961,"Region 2","Other",0.00823529411764706
1962,"Region 2","Other",0.00941176470588235
1963,"Region 2","Other",0.0105882352941176
1964,"Region 2","Other",0.0117647058823529
1965,"Region 2","Other",0.0129411764705882
1966,"Region 2","Other",0.0141176470588235
1967,"Region 2","Other",0.0152941176470588
1968,"Region 2","Other",0.0164705882352941
1969,"Region 2","Other",0.0176470588235294
1970,"Region 2","Other",0.0188235294117647
1971,"Region 2","Other",0.02
1972,"Region 2","Other",0.0211764705882353
1973,"Region 2","Other",0.0223529411764706
1974,"Region 2","Other",0.0235294117647059
1975,"Region 2","Other",0.0247058823529412
1976,"Region 2","Other",0.0258823529411765
1977,"Region 2","Other",0.0270588235294118
1978,"Region 2","Other",0.0282352941176471
1979,"Region 2","Other",0.0294117647058824
1980,"Region 2","Other",0.0305882352941177
1981,"Region 2","Other",0.0317647058823529
1982,"Region 2","Other",0.0329411764705882
1983,"Region 2","Other",0.0341176470588235
1984,"Region 2","Other",0.0352941176470588
1985,"Region 2","Other",0.0364705882352941
1986,"Region 2","Other",0.0376470588235294
1987,"Region 2","Other",0.0388235294117647
1988,"Region 2","Other",0.04
1989,"Region 2","Other",0.0411764705882353
1990,"Region 2","Other",0.0423529411764706
1991,"Region 2","Other",0.0435294117647059
1992,"Region 2","Other",0.0447058823529412
1993,"Region 2","Other",0.0458823529411765
1994,"Region 2","Other",0.0470588235294118
1995,"Region 2","Other",0.0482352941176471
1996,"Region 2","Other",0.0494117647058824
1997,"Region 2","Other",0.0505882352941176
1998,"Region 2","Other",0.0517647058823529
1999,"Region 2","Other",0.0529411764705882
2000,"Region 2","Other",0.0541176470588235
2001,"Region 2","Other",0.0552941176470588
2002,"Region 2","Other",0.0564705882352941
2003,"Region 2","Other",0.0576470588235294
2004,"Region 2","Other",0.0588235294117647
2005,"Region 2","Other",0.06
2006,"Region 2","Other",0.0611764705882353
2007,"Region 2","Other",0.0623529411764706
2008,"Region 2","Other",0.0635294117647059
2009,"Region 2","Other",0.0647058823529412
2010,"Region 2","Other",0.0658823529411765
2011,"Region 2","Other",0.0670588235294118
2012,"Region 2","Other",0.0682352941176471
2013,"Region 2","Other",0.0694117647058824
2014,"Region 2","Other",0.0705882352941177
2015,"Region 2","Other",0.071764705882353
2016,"Region 2","Other",0.0729411764705882
2017,"Region 2","Other",0.0741176470588235
2018,"Region 2","Other",0.0752941176470588
2019,"Region 2","Other",0.0764705882352941
2020,"Region 2","Other",0.0776470588235294
2021,"Region 2","Other",0.0788235294117647
2022,"Region 2","Other",0.08
