"time","group","facet","metric","value","unit","definition"
2016,"Longline","Region 2","fishing_impact",0.181444369600817,"ratio","Illustrative fishing_impact"
2017,"Longline","Region 2","fishing_impact",0.176964492153409,"ratio","Illustrative fishing_impact"
2018,"Longline","Region 2","fishing_impact",0.17259522327428,"ratio","Illustrative fishing_impact"
2019,"Longline","Region 2","fishing_impact",0.168333832028148,"ratio","Illustrative fishing_impact"
2020,"Longline","Region 2","fishing_impact",0.164177654906765,"ratio","Illustrative fishing_impact"
2001,"Other","Region 2","fishing_impact",0.288,"ratio","Illustrative fishing_impact"
2002,"Other","Region 2","fishing_impact",0.28088925466416,"ratio","Illustrative fishing_impact"
2003,"Other","Region 2","fishing_impact",0.273954074256206,"ratio","Illustrative fishing_impact"
2004,"Other","Region 2","fishing_impact",0.267190124062623,"ratio","Illustrative fishing_impact"
2005,"Other","Region 2","fishing_impact",0.260593176394356,"ratio","Illustrative fishing_impact"
2006,"Other","Region 2","fishing_impact",0.254159107944363,"ratio","Illustrative fishing_impact"
2007,"Other","Region 2","fishing_impact",0.247883897210417,"ratio","Illustrative fishing_impact"
2008,"Other","Region 2","fishing_impact",0.241763621981532,"ratio","Illustrative fishing_impact"
2009,"Other","Region 2","fishing_impact",0.235794456886459,"ratio","Illustrative fishing_impact"
2010,"Other","Region 2","fishing_impact",0.229972671002701,"ratio","Illustrative fishing_impact"
2011,"Other","Region 2","fishing_impact",0.224294625524565,"ratio","Illustrative fishing_impact"
2012,"Other","Region 2","fishing_impact",0.218756771488791,"ratio","Illustrative fishing_impact"
2013,"Other","Region 2","fishing_impact",0.213355647556335,"ratio","Illustrative fishing_impact"
2014,"Other","Region 2","fishing_impact",0.208087877848917,"ratio","Illustrative fishing_impact"
2015,"Other","Region 2","fishing_impact",0.202950169838989,"ratio","Illustrative fishing_impact"
2016,"Other","Region 2","fishing_impact",0.1979393122918,"ratio","Illustrative fishing_impact"
2017,"Other","Region 2","fishing_impact",0.193052173258264,"ratio","Illustrative fishing_impact"
2018,"Other","Region 2","fishing_impact",0.188285698117396,"ratio","Illustrative fishing_impact"
2019,"Other","Region 2","fishing_impact",0.183636907667071,"ratio","Illustrative fishing_impact"
2020,"Other","Region 2","fishing_impact",0.179102896261926,"ratio","Illustrative fishing_impact"
