"year","stage","region","value"
2008,"Adult","Region 2",0.1888
2009,"Adult","Region 2",0.192
2010,"Adult","Region 2",0.1952
2011,"Adult","Region 2",0.1984
2012,"Adult","Region 2",0.2016
2013,"Adult","Region 2",0.2048
2014,"Adult","Region 2",0.208
2015,"Adult","Region 2",0.2112
2016,"Adult","Region 2",0.2144
2017,"Adult","Region 2",0.2176
2018,"Adult","Region 2",0.2208
2019,"Adult","Region 2",0.224
2020,"Adult","Region 2",0.2272
2021,"Adult","Region 2",0.2304
2022,"Adult","Region 2",0.2336
