"length","region","type","value"
64,"Region 2","Observed",0.0304489514363754
66,"Region 2","Observed",0.0369843926144084
68,"Region 2","Observed",0.0436918973285426
70,"Region 2","Observed",0.0502018339036673
72,"Region 2","Observed",0.05610150667316
74,"Region 2","Observed",0.0609769547872998
76,"Region 2","Observed",0.0644604306966452
78,"Region 2","Observed",0.0662760990857891
80,"Region 2","Observed",0.0662760990857891
82,"Region 2","Observed",0.0644604306966452
84,"Region 2","Observed",0.0609769547872998
86,"Region 2","Observed",0.05610150667316
88,"Region 2","Observed",0.0502018339036673
90,"Region 2","Observed",0.0436918973285426
92,"Region 2","Observed",0.0369843926144084
94,"Region 2","Observed",0.0304489514363754
96,"Region 2","Observed",0.0243816142947032
98,"Region 2","Observed",0.0189884203052598
100,"Region 2","Observed",0.0143830662245792
102,"Region 2","Observed",0.0105962058929886
104,"Region 2","Observed",0.00759251329561282
106,"Region 2","Observed",0.00529123436503004
108,"Region 2","Observed",0.00358644933208895
110,"Region 2","Observed",0.00236433311786828
112,"Region 2","Observed",0.00151596402689259
114,"Region 2","Observed",0.000945377779935708
116,"Region 2","Observed",0.000573400608542069
118,"Region 2","Observed",0.000338257296099802
120,"Region 2","Observed",0.000194076280726656
30,"Region 1","Predicted",2.23092472967139e-05
32,"Region 1","Predicted",4.28531454009085e-05
34,"Region 1","Predicted",8.00602156585027e-05
36,"Region 1","Predicted",0.000145474566332585
38,"Region 1","Predicted",0.000257095012222671
40,"Region 1","Predicted",0.000441912712969069
42,"Region 1","Predicted",0.000738780807088917
44,"Region 1","Predicted",0.00120124329742886
46,"Region 1","Predicted",0.00189968946806858
48,"Region 1","Predicted",0.00292193477345785
50,"Region 1","Predicted",0.00437113966620881
52,"Region 1","Predicted",0.0063599706864309
54,"Region 1","Predicted",0.00900019272064436
56,"Region 1","Predicted",0.0123875314060713
58,"Region 1","Predicted",0.0165826522148725
60,"Region 1","Predicted",0.0215903399584963
62,"Region 1","Predicted",0.0273401714312829
64,"Region 1","Predicted",0.0336728015205894
66,"Region 1","Predicted",0.040336065347048
68,"Region 1","Predicted",0.0469941801895923
70,"Region 1","Predicted",0.0532513825849803
72,"Region 1","Predicted",0.0586886287794337
74,"Region 1","Predicted",0.0629090753162587
76,"Region 1","Predicted",0.0655856617793296
78,"Region 1","Predicted",0.0665029289140285
80,"Region 1","Predicted",0.0655856617793296
82,"Region 1","Predicted",0.0629090753162587
84,"Region 1","Predicted",0.0586886287794337
86,"Region 1","Predicted",0.0532513825849803
88,"Region 1","Predicted",0.0469941801895923
90,"Region 1","Predicted",0.040336065347048
92,"Region 1","Predicted",0.0336728015205894
94,"Region 1","Predicted",0.0273401714312829
96,"Region 1","Predicted",0.0215903399584963
98,"Region 1","Predicted",0.0165826522148725
100,"Region 1","Predicted",0.0123875314060713
102,"Region 1","Predicted",0.00900019272064436
104,"Region 1","Predicted",0.0063599706864309
106,"Region 1","Predicted",0.00437113966620881
108,"Region 1","Predicted",0.00292193477345785
110,"Region 1","Predicted",0.00189968946806858
112,"Region 1","Predicted",0.00120124329742886
114,"Region 1","Predicted",0.000738780807088917
116,"Region 1","Predicted",0.000441912712969069
118,"Region 1","Predicted",0.000257095012222671
120,"Region 1","Predicted",0.000145474566332585
30,"Region 2","Predicted",2.23092472967139e-05
32,"Region 2","Predicted",4.28531454009085e-05
34,"Region 2","Predicted",8.00602156585027e-05
36,"Region 2","Predicted",0.000145474566332585
38,"Region 2","Predicted",0.000257095012222671
40,"Region 2","Predicted",0.000441912712969069
42,"Region 2","Predicted",0.000738780807088917
44,"Region 2","Predicted",0.00120124329742886
46,"Region 2","Predicted",0.00189968946806858
48,"Region 2","Predicted",0.00292193477345785
50,"Region 2","Predicted",0.00437113966620881
52,"Region 2","Predicted",0.0063599706864309
54,"Region 2","Predicted",0.00900019272064436
56,"Region 2","Predicted",0.0123875314060713
58,"Region 2","Predicted",0.0165826522148725
60,"Region 2","Predicted",0.0215903399584963
62,"Region 2","Predicted",0.0273401714312829
64,"Region 2","Predicted",0.0336728015205894
66,"Region 2","Predicted",0.040336065347048
68,"Region 2","Predicted",0.0469941801895923
70,"Region 2","Predicted",0.0532513825849803
72,"Region 2","Predicted",0.0586886287794337
74,"Region 2","Predicted",0.0629090753162587
76,"Region 2","Predicted",0.0655856617793296
78,"Region 2","Predicted",0.0665029289140285
80,"Region 2","Predicted",0.0655856617793296
82,"Region 2","Predicted",0.0629090753162587
84,"Region 2","Predicted",0.0586886287794337
86,"Region 2","Predicted",0.0532513825849803
88,"Region 2","Predicted",0.0469941801895923
90,"Region 2","Predicted",0.040336065347048
92,"Region 2","Predicted",0.0336728015205894
94,"Region 2","Predicted",0.0273401714312829
96,"Region 2","Predicted",0.0215903399584963
98,"Region 2","Predicted",0.0165826522148725
100,"Region 2","Predicted",0.0123875314060713
102,"Region 2","Predicted",0.00900019272064436
104,"Region 2","Predicted",0.0063599706864309
106,"Region 2","Predicted",0.00437113966620881
108,"Region 2","Predicted",0.00292193477345785
110,"Region 2","Predicted",0.00189968946806858
112,"Region 2","Predicted",0.00120124329742886
114,"Region 2","Predicted",0.000738780807088917
116,"Region 2","Predicted",0.000441912712969069
118,"Region 2","Predicted",0.000257095012222671
120,"Region 2","Predicted",0.000145474566332585
