"time","group","facet","metric","value","unit","definition"
2012,"Other","Region 1","catch",18229.7309573992,"t","Illustrative catch"
2013,"Other","Region 1","catch",17779.6372963612,"t","Illustrative catch"
2014,"Other","Region 1","catch",17340.6564874097,"t","Illustrative catch"
2015,"Other","Region 1","catch",16912.5141532491,"t","Illustrative catch"
2016,"Other","Region 1","catch",16494.9426909833,"t","Illustrative catch"
2017,"Other","Region 1","catch",16087.6811048553,"t","Illustrative catch"
2018,"Other","Region 1","catch",15690.4748431163,"t","Illustrative catch"
2019,"Other","Region 1","catch",15303.0756389226,"t","Illustrative catch"
2020,"Other","Region 1","catch",14925.2413551605,"t","Illustrative catch"
2001,"Longline","Region 2","catch",22000,"t","Illustrative catch"
2002,"Longline","Region 2","catch",21456.8180646233,"t","Illustrative catch"
2003,"Longline","Region 2","catch",20927.0473390157,"t","Illustrative catch"
2004,"Longline","Region 2","catch",20410.3566992282,"t","Illustrative catch"
2005,"Longline","Region 2","catch",19906.4231967911,"t","Illustrative catch"
2006,"Longline","Region 2","catch",19414.9318568611,"t","Illustrative catch"
2007,"Longline","Region 2","catch",18935.5754813513,"t","Illustrative catch"
2008,"Longline","Region 2","catch",18468.0544569226,"t","Illustrative catch"
2009,"Longline","Region 2","catch",18012.0765677156,"t","Illustrative catch"
2010,"Longline","Region 2","catch",17567.3568127063,"t","Illustrative catch"
2011,"Longline","Region 2","catch",17133.6172275709,"t","Illustrative catch"
2012,"Longline","Region 2","catch",16710.5867109493,"t","Illustrative catch"
2013,"Longline","Region 2","catch",16298.0008549978,"t","Illustrative catch"
2014,"Longline","Region 2","catch",15895.6017801256,"t","Illustrative catch"
2015,"Longline","Region 2","catch",15503.1379738117,"t","Illustrative catch"
2016,"Longline","Region 2","catch",15120.3641334014,"t","Illustrative catch"
2017,"Longline","Region 2","catch",14747.0410127841,"t","Illustrative catch"
2018,"Longline","Region 2","catch",14382.9352728566,"t","Illustrative catch"
2019,"Longline","Region 2","catch",14027.819335679,"t","Illustrative catch"
2020,"Longline","Region 2","catch",13681.4712422304,"t","Illustrative catch"
2001,"Other","Region 2","catch",24000,"t","Illustrative catch"
2002,"Other","Region 2","catch",23407.43788868,"t","Illustrative catch"
2003,"Other","Region 2","catch",22829.5061880171,"t","Illustrative catch"
2004,"Other","Region 2","catch",22265.8436718853,"t","Illustrative catch"
2005,"Other","Region 2","catch",21716.098032863,"t","Illustrative catch"
2006,"Other","Region 2","catch",21179.9256620303,"t","Illustrative catch"
2007,"Other","Region 2","catch",20656.9914342014,"t","Illustrative catch"
2008,"Other","Region 2","catch",20146.968498461,"t","Illustrative catch"
2009,"Other","Region 2","catch",19649.5380738716,"t","Illustrative catch"
2010,"Other","Region 2","catch",19164.389250225,"t","Illustrative catch"
2011,"Other","Region 2","catch",18691.2187937137,"t","Illustrative catch"
2012,"Other","Region 2","catch",18229.7309573992,"t","Illustrative catch"
2013,"Other","Region 2","catch",17779.6372963612,"t","Illustrative catch"
2014,"Other","Region 2","catch",17340.6564874097,"t","Illustrative catch"
2015,"Other","Region 2","catch",16912.5141532491,"t","Illustrative catch"
2016,"Other","Region 2","catch",16494.9426909833,"t","Illustrative catch"
2017,"Other","Region 2","catch",16087.6811048553,"t","Illustrative catch"
2018,"Other","Region 2","catch",15690.4748431163,"t","Illustrative catch"
2019,"Other","Region 2","catch",15303.0756389226,"t","Illustrative catch"
2020,"Other","Region 2","catch",14925.2413551605,"t","Illustrative catch"
