"year","fishery","type","value"
2015,"Fishery 5","Predicted",82.0825167046219
2016,"Fishery 5","Predicted",82.4920488440146
2017,"Fishery 5","Predicted",82.8626933946838
2018,"Fishery 5","Predicted",83.1886665723816
2019,"Fishery 5","Predicted",83.4648816746945
2020,"Fishery 5","Predicted",83.6870284573335
2021,"Fishery 5","Predicted",83.8516403940544
2022,"Fishery 5","Predicted",83.9561487706405
1980,"Fishery 6","Predicted",84.5332301551891
1981,"Fishery 6","Predicted",84.1275218326772
1982,"Fishery 6","Predicted",83.6886142435344
1983,"Fishery 6","Predicted",83.2233563938929
1984,"Fishery 6","Predicted",82.7390084768869
1985,"Fishery 6","Predicted",82.2431285797668
1986,"Fishery 6","Predicted",81.7434547424759
1987,"Fishery 6","Predicted",81.2477842081249
1988,"Fishery 6","Predicted",80.7638517496211
1989,"Fishery 6","Predicted",80.2992089711239
1990,"Fishery 6","Predicted",79.861106467788
1991,"Fishery 6","Predicted",79.4563806826508
1992,"Fishery 6","Predicted",79.0913472262254
1993,"Fishery 6","Predicted",78.7717023235106
1994,"Fishery 6","Predicted",78.5024339263054
1995,"Fishery 6","Predicted",78.2877438778888
1996,"Fishery 6","Predicted",78.1309823446617
1997,"Fishery 6","Predicted",78.0345955379196
1998,"Fishery 6","Predicted",78.0000875415444
1999,"Fishery 6","Predicted",78.0279968412781
2000,"Fishery 6","Predicted",78.1178879218328
2001,"Fishery 6","Predicted",78.2683580629613
2002,"Fishery 6","Predicted",78.4770592284373
2003,"Fishery 6","Predicted",78.7407347063755
2004,"Fishery 6","Predicted",79.0552699291312
2005,"Fishery 6","Predicted",79.4157566797524
2006,"Fishery 6","Predicted",79.8165696830635
2007,"Fishery 6","Predicted",80.2514543862032
2008,"Fishery 6","Predicted",80.71362455883
2009,"Fishery 6","Predicted",81.1958681899768
2010,"Fishery 6","Predicted",81.6906600290702
2011,"Fishery 6","Predicted",82.1902790149485
2012,"Fishery 6","Predicted",82.6869287604391
2013,"Fishery 6","Predicted",83.1728592123722
2014,"Fishery 6","Predicted",83.6404875885692
2015,"Fishery 6","Predicted",84.0825167046219
2016,"Fishery 6","Predicted",84.4920488440146
2017,"Fishery 6","Predicted",84.8626933946838
2018,"Fishery 6","Predicted",85.1886665723816
2019,"Fishery 6","Predicted",85.4648816746945
2020,"Fishery 6","Predicted",85.6870284573335
2021,"Fishery 6","Predicted",85.8516403940544
2022,"Fishery 6","Predicted",85.9561487706405
