"condition_bin","bin","group","observed","predicted","bin_unit","condition_unit"
65,7,"Region 1",0.225898623837858,0.278619148822386,"year","cm"
70,7,"Region 1",0.153637941195463,0.188176643188369,"year","cm"
75,7,"Region 1",0.0832921165337145,0.0939742236942454,"year","cm"
80,7,"Region 1",0.0359939776754587,0.0347008449876442,"year","cm"
85,7,"Region 1",0.0123987046132563,0.00947457259109489,"year","cm"
90,7,"Region 1",0.00340442138329999,0.00191279081920329,"year","cm"
30,8,"Region 1",0.000745127910987896,5.01718436859083e-05,"year","cm"
35,8,"Region 1",0.00340442138329999,0.000427910867873847,"year","cm"
40,8,"Region 1",0.0123987046132563,0.00269857719866567,"year","cm"
45,8,"Region 1",0.0359939776754587,0.0125835926246338,"year","cm"
50,8,"Region 1",0.0832921165337146,0.0433873102821965,"year","cm"
55,8,"Region 1",0.153637941195463,0.110613740576053,"year","cm"
60,8,"Region 1",0.225898623837858,0.208518073567047,"year","cm"
65,8,"Region 1",0.264758076532547,0.290647507405049,"year","cm"
70,8,"Region 1",0.247346275362223,0.299555829382612,"year","cm"
75,8,"Region 1",0.184196790356334,0.228284918910767,"year","cm"
80,8,"Region 1",0.109340049783996,0.128636715317273,"year","cm"
85,8,"Region 1",0.0517364948524587,0.053597056093788,"year","cm"
90,8,"Region 1",0.0195135040194405,0.0165122100192634,"year","cm"
30,9,"Region 1",6.06803175894192e-05,1.50294054958258e-06,"year","cm"
35,9,"Region 1",0.000380830381156791,1.95610189921664e-05,"year","cm"
40,9,"Region 1",0.00190517930491674,0.000188247588433193,"year","cm"
45,9,"Region 1",0.00759732401586496,0.00133953986151481,"year","cm"
50,9,"Region 1",0.024149379040221,0.007048068817235,"year","cm"
55,9,"Region 1",0.0611887826427387,0.0274203443108165,"year","cm"
60,9,"Region 1",0.123582843452729,0.078879463042303,"year","cm"
65,9,"Region 1",0.198959682672498,0.167781186428386,"year","cm"
70,9,"Region 1",0.255324506629475,0.263882658290253,"year","cm"
75,9,"Region 1",0.261180319503747,0.306878677231871,"year","cm"
80,9,"Region 1",0.212965337014902,0.263882658290253,"year","cm"
85,9,"Region 1",0.138419705410134,0.167781186428386,"year","cm"
90,9,"Region 1",0.071714577639426,0.078879463042303,"year","cm"
30,10,"Region 1",3.16843709368293e-06,2.49140630964155e-08,"year","cm"
35,10,"Region 1",2.73149302216272e-05,4.94823879028923e-07,"year","cm"
40,10,"Region 1",0.000187704907554716,7.26683020629853e-06,"year","cm"
45,10,"Region 1",0.0010281859975274,7.8909201710834e-05,"year","cm"
50,10,"Region 1",0.0044893996501535,0.000633575770928773,"year","cm"
55,10,"Region 1",0.0156251925303335,0.00376147123803196,"year","cm"
60,10,"Region 1",0.0433493921300422,0.0165122100192634,"year","cm"
65,10,"Region 1",0.0958652418325788,0.053597056093788,"year","cm"
70,10,"Region 1",0.168989553337298,0.128636715317273,"year","cm"
75,10,"Region 1",0.23745377022943,0.228284918910767,"year","cm"
80,10,"Region 1",0.265961520267622,0.299555829382612,"year","cm"
85,10,"Region 1",0.23745377022943,0.290647507405049,"year","cm"
90,10,"Region 1",0.168989553337298,0.208518073567047,"year","cm"
30,11,"Region 1",1.06077325931407e-07,2.28543216157e-10,"year","cm"
35,11,"Region 1",1.25617120428215e-06,6.92677117250193e-09,"year","cm"
40,11,"Region 1",1.18575681608135e-05,1.55232131496012e-07,"year","cm"
45,11,"Region 1",8.92201505099236e-05,2.57229441390922e-06,"year","cm"
50,11,"Region 1",0.000535119526844929,3.15172271788006e-05,"year","cm"
55,11,"Region 1",0.0025583453656099,0.000285537796345361,"year","cm"
60,11,"Region 1",0.00974962856795468,0.00191279081920328,"year","cm"
65,11,"Region 1",0.0296167565198682,0.00947457259109489,"year","cm"
70,11,"Region 1",0.071714577639426,0.0347008449876442,"year","cm"
75,11,"Region 1",0.138419705410134,0.0939742236942454,"year","cm"
80,11,"Region 1",0.212965337014902,0.188176643188369,"year","cm"
85,11,"Region 1",0.261180319503747,0.278619148822386,"year","cm"
90,11,"Region 1",0.255324506629475,0.305031351517133,"year","cm"
30,12,"Region 1",2.27709037531122e-09,1.16014727949406e-12,"year","cm"
35,12,"Region 1",3.70405820249542e-08,5.36576994865328e-11,"year","cm"
40,12,"Region 1",4.80281504504761e-07,1.83501342337534e-09,"year","cm"
45,12,"Region 1",4.96403058041999e-06,4.64017880472059e-08,"year","cm"
50,12,"Region 1",4.08971985330146e-05,8.67597836264516e-07,"year","cm"
55,12,"Region 1",0.000268579707738101,1.19947300493237e-05,"year","cm"
60,12,"Region 1",0.00140596127759661,0.000122617023666346,"year","cm"
65,12,"Region 1",0.00586670226205424,0.000926828405753384,"year","cm"
70,12,"Region 1",0.0195135040194405,0.00518007651940789,"year","cm"
75,12,"Region 1",0.0517364948524587,0.0214072700825576,"year","cm"
80,12,"Region 1",0.109340049783996,0.0654145977732064,"year","cm"
85,12,"Region 1",0.184196790356334,0.147800647301925,"year","cm"
90,12,"Region 1",0.247346275362223,0.246925686942823,"year","cm"
