"length","fishery","value"
64,"Fishery 3",0.5
66,"Fishery 3",0.598687660112452
68,"Fishery 3",0.689974481127613
70,"Fishery 3",0.768524783499018
72,"Fishery 3",0.832018385133924
74,"Fishery 3",0.880797077977882
76,"Fishery 3",0.916827303506078
78,"Fishery 3",0.942675824101131
80,"Fishery 3",0.960834277203236
82,"Fishery 3",0.973403006423134
84,"Fishery 3",0.982013790037908
86,"Fishery 3",0.987871565015726
88,"Fishery 3",0.99183742884684
90,"Fishery 3",0.994513701100549
92,"Fishery 3",0.996315760100564
94,"Fishery 3",0.997527376843365
96,"Fishery 3",0.998341198919826
98,"Fishery 3",0.99888746396714
100,"Fishery 3",0.999253971166163
102,"Fishery 3",0.999499798892921
104,"Fishery 3",0.999664649869534
106,"Fishery 3",0.999775183229767
108,"Fishery 3",0.99984928964194
110,"Fishery 3",0.999898970806092
112,"Fishery 3",0.99993227585038
114,"Fishery 3",0.999954602131298
116,"Fishery 3",0.999969568443099
118,"Fishery 3",0.99997960091272
120,"Fishery 3",0.999986325990915
30,"Fishery 4",0.000610879359434401
32,"Fishery 4",0.000911051194400645
34,"Fishery 4",0.00135851995042896
36,"Fishery 4",0.00202532038904988
38,"Fishery 4",0.00301841632470842
40,"Fishery 4",0.00449627316094118
42,"Fishery 4",0.00669285092428486
44,"Fishery 4",0.00995180186690432
46,"Fishery 4",0.0147740316932731
48,"Fishery 4",0.0218812709361305
50,"Fishery 4",0.0322954646984505
52,"Fishery 4",0.0474258731775668
54,"Fishery 4",0.0691384203433468
56,"Fishery 4",0.0997504891196851
58,"Fishery 4",0.141851064900488
60,"Fishery 4",0.197816111441418
62,"Fishery 4",0.268941421369995
64,"Fishery 4",0.354343693774205
66,"Fishery 4",0.450166002687522
68,"Fishery 4",0.549833997312478
70,"Fishery 4",0.645656306225795
72,"Fishery 4",0.731058578630005
74,"Fishery 4",0.802183888558582
76,"Fishery 4",0.858148935099512
78,"Fishery 4",0.900249510880315
80,"Fishery 4",0.930861579656653
82,"Fishery 4",0.952574126822433
84,"Fishery 4",0.967704535301549
86,"Fishery 4",0.978118729063869
88,"Fishery 4",0.985225968306727
90,"Fishery 4",0.990048198133096
92,"Fishery 4",0.993307149075715
94,"Fishery 4",0.995503726839059
96,"Fishery 4",0.996981583675292
98,"Fishery 4",0.99797467961095
100,"Fishery 4",0.998641480049571
102,"Fishery 4",0.999088948805599
104,"Fishery 4",0.999389120640566
106,"Fishery 4",0.999590432835014
108,"Fishery 4",0.999725421843899
110,"Fishery 4",0.999815928095037
112,"Fishery 4",0.999876605424014
114,"Fishery 4",0.999917282777148
116,"Fishery 4",0.999944551475277
118,"Fishery 4",0.999962831062897
120,"Fishery 4",0.999975084611061
30,"Fishery 5",0.000335350130466478
32,"Fishery 5",0.000500201107079564
34,"Fishery 5",0.000746028833836697
36,"Fishery 5",0.00111253603286032
38,"Fishery 5",0.00165880108017442
40,"Fishery 5",0.00247262315663477
42,"Fishery 5",0.00368423989943599
44,"Fishery 5",0.0054862988994504
46,"Fishery 5",0.0081625711531599
48,"Fishery 5",0.0121284349842742
50,"Fishery 5",0.0179862099620916
52,"Fishery 5",0.0265969935768659
54,"Fishery 5",0.0391657227967644
56,"Fishery 5",0.0573241758988688
58,"Fishery 5",0.0831726964939224
60,"Fishery 5",0.119202922022118
62,"Fishery 5",0.167981614866076
64,"Fishery 5",0.231475216500982
66,"Fishery 5",0.310025518872388
68,"Fishery 5",0.401312339887548
70,"Fishery 5",0.5
72,"Fishery 5",0.598687660112452
74,"Fishery 5",0.689974481127613
76,"Fishery 5",0.768524783499018
78,"Fishery 5",0.832018385133924
80,"Fishery 5",0.880797077977882
82,"Fishery 5",0.916827303506078
84,"Fishery 5",0.942675824101131
86,"Fishery 5",0.960834277203236
88,"Fishery 5",0.973403006423134
90,"Fishery 5",0.982013790037908
92,"Fishery 5",0.987871565015726
94,"Fishery 5",0.99183742884684
96,"Fishery 5",0.994513701100549
98,"Fishery 5",0.996315760100564
100,"Fishery 5",0.997527376843365
102,"Fishery 5",0.998341198919826
104,"Fishery 5",0.99888746396714
106,"Fishery 5",0.999253971166163
108,"Fishery 5",0.999499798892921
110,"Fishery 5",0.999664649869534
112,"Fishery 5",0.999775183229767
114,"Fishery 5",0.99984928964194
116,"Fishery 5",0.999898970806092
118,"Fishery 5",0.99993227585038
120,"Fishery 5",0.999954602131298
30,"Fishery 6",0.000184071904963424
32,"Fishery 6",0.000274578156101333
34,"Fishery 6",0.00040956716498605
36,"Fishery 6",0.000610879359434401
38,"Fishery 6",0.000911051194400645
40,"Fishery 6",0.00135851995042896
42,"Fishery 6",0.00202532038904988
44,"Fishery 6",0.00301841632470842
46,"Fishery 6",0.00449627316094118
48,"Fishery 6",0.00669285092428486
50,"Fishery 6",0.00995180186690432
52,"Fishery 6",0.0147740316932731
54,"Fishery 6",0.0218812709361305
56,"Fishery 6",0.0322954646984505
58,"Fishery 6",0.0474258731775668
60,"Fishery 6",0.0691384203433468
62,"Fishery 6",0.0997504891196851
64,"Fishery 6",0.141851064900488
66,"Fishery 6",0.197816111441418
68,"Fishery 6",0.268941421369995
70,"Fishery 6",0.354343693774205
72,"Fishery 6",0.450166002687522
74,"Fishery 6",0.549833997312478
76,"Fishery 6",0.645656306225795
78,"Fishery 6",0.731058578630005
80,"Fishery 6",0.802183888558582
82,"Fishery 6",0.858148935099512
84,"Fishery 6",0.900249510880315
86,"Fishery 6",0.930861579656653
88,"Fishery 6",0.952574126822433
90,"Fishery 6",0.967704535301549
92,"Fishery 6",0.978118729063869
94,"Fishery 6",0.985225968306727
96,"Fishery 6",0.990048198133096
98,"Fishery 6",0.993307149075715
100,"Fishery 6",0.995503726839059
102,"Fishery 6",0.996981583675292
104,"Fishery 6",0.99797467961095
106,"Fishery 6",0.998641480049571
108,"Fishery 6",0.999088948805599
110,"Fishery 6",0.999389120640566
112,"Fishery 6",0.999590432835014
114,"Fishery 6",0.999725421843899
116,"Fishery 6",0.999815928095037
118,"Fishery 6",0.999876605424014
120,"Fishery 6",0.999917282777148
