"year","region","gear","value"
1975,"Region 2","Longline",7440
1976,"Region 2","Longline",7680
1977,"Region 2","Longline",7920
1978,"Region 2","Longline",8160
1979,"Region 2","Longline",8400
1980,"Region 2","Longline",8640
1981,"Region 2","Longline",8880
1982,"Region 2","Longline",9120
1983,"Region 2","Longline",9360
1984,"Region 2","Longline",9600
1985,"Region 2","Longline",9840
1986,"Region 2","Longline",10080
1987,"Region 2","Longline",10320
1988,"Region 2","Longline",10560
1989,"Region 2","Longline",10800
1990,"Region 2","Longline",11040
1991,"Region 2","Longline",11280
1992,"Region 2","Longline",11520
1993,"Region 2","Longline",11760
1994,"Region 2","Longline",12000
1995,"Region 2","Longline",12240
1996,"Region 2","Longline",12480
1997,"Region 2","Longline",12720
1998,"Region 2","Longline",12960
1999,"Region 2","Longline",13200
2000,"Region 2","Longline",13440
2001,"Region 2","Longline",13680
2002,"Region 2","Longline",13920
2003,"Region 2","Longline",14160
2004,"Region 2","Longline",14400
2005,"Region 2","Longline",14640
2006,"Region 2","Longline",14880
2007,"Region 2","Longline",15120
2008,"Region 2","Longline",15360
2009,"Region 2","Longline",15600
2010,"Region 2","Longline",15840
2011,"Region 2","Longline",16080
2012,"Region 2","Longline",16320
2013,"Region 2","Longline",16560
2014,"Region 2","Longline",16800
2015,"Region 2","Longline",17040
2016,"Region 2","Longline",17280
2017,"Region 2","Longline",17520
2018,"Region 2","Longline",17760
2019,"Region 2","Longline",18000
2020,"Region 2","Longline",18240
2021,"Region 2","Longline",18480
2022,"Region 2","Longline",18720
1954,"Region 1","Other",1400
1955,"Region 1","Other",1540
1956,"Region 1","Other",1680
1957,"Region 1","Other",1820
1958,"Region 1","Other",1960
1959,"Region 1","Other",2100
1960,"Region 1","Other",2240
1961,"Region 1","Other",2380
1962,"Region 1","Other",2520
1963,"Region 1","Other",2660
1964,"Region 1","Other",2800
1965,"Region 1","Other",2940
1966,"Region 1","Other",3080
1967,"Region 1","Other",3220
1968,"Region 1","Other",3360
1969,"Region 1","Other",3500
1970,"Region 1","Other",3640
1971,"Region 1","Other",3780
1972,"Region 1","Other",3920
1973,"Region 1","Other",4060
1974,"Region 1","Other",4200
1975,"Region 1","Other",4340
1976,"Region 1","Other",4480
1977,"Region 1","Other",4620
1978,"Region 1","Other",4760
1979,"Region 1","Other",4900
1980,"Region 1","Other",5040
1981,"Region 1","Other",5180
1982,"Region 1","Other",5320
1983,"Region 1","Other",5460
1984,"Region 1","Other",5600
1985,"Region 1","Other",5740
1986,"Region 1","Other",5880
1987,"Region 1","Other",6020
1988,"Region 1","Other",6160
1989,"Region 1","Other",6300
1990,"Region 1","Other",6440
1991,"Region 1","Other",6580
1992,"Region 1","Other",6720
1993,"Region 1","Other",6860
1994,"Region 1","Other",7000
1995,"Region 1","Other",7140
1996,"Region 1","Other",7280
1997,"Region 1","Other",7420
1998,"Region 1","Other",7560
1999,"Region 1","Other",7700
2000,"Region 1","Other",7840
2001,"Region 1","Other",7980
2002,"Region 1","Other",8120
2003,"Region 1","Other",8260
2004,"Region 1","Other",8400
2005,"Region 1","Other",8540
2006,"Region 1","Other",8680
2007,"Region 1","Other",8820
2008,"Region 1","Other",8960
2009,"Region 1","Other",9100
2010,"Region 1","Other",9240
2011,"Region 1","Other",9380
2012,"Region 1","Other",9520
2013,"Region 1","Other",9660
2014,"Region 1","Other",9800
2015,"Region 1","Other",9940
2016,"Region 1","Other",10080
2017,"Region 1","Other",10220
2018,"Region 1","Other",10360
2019,"Region 1","Other",10500
2020,"Region 1","Other",10640
2021,"Region 1","Other",10780
2022,"Region 1","Other",10920
1954,"Region 2","Other",600
1955,"Region 2","Other",660
1956,"Region 2","Other",720
1957,"Region 2","Other",780
1958,"Region 2","Other",840
1959,"Region 2","Other",900
1960,"Region 2","Other",960
1961,"Region 2","Other",1020
1962,"Region 2","Other",1080
1963,"Region 2","Other",1140
1964,"Region 2","Other",1200
1965,"Region 2","Other",1260
1966,"Region 2","Other",1320
1967,"Region 2","Other",1380
1968,"Region 2","Other",1440
1969,"Region 2","Other",1500
1970,"Region 2","Other",1560
1971,"Region 2","Other",1620
1972,"Region 2","Other",1680
1973,"Region 2","Other",1740
1974,"Region 2","Other",1800
1975,"Region 2","Other",1860
1976,"Region 2","Other",1920
1977,"Region 2","Other",1980
1978,"Region 2","Other",2040
1979,"Region 2","Other",2100
1980,"Region 2","Other",2160
1981,"Region 2","Other",2220
1982,"Region 2","Other",2280
1983,"Region 2","Other",2340
1984,"Region 2","Other",2400
1985,"Region 2","Other",2460
1986,"Region 2","Other",2520
1987,"Region 2","Other",2580
1988,"Region 2","Other",2640
1989,"Region 2","Other",2700
1990,"Region 2","Other",2760
1991,"Region 2","Other",2820
1992,"Region 2","Other",2880
1993,"Region 2","Other",2940
1994,"Region 2","Other",3000
1995,"Region 2","Other",3060
1996,"Region 2","Other",3120
1997,"Region 2","Other",3180
1998,"Region 2","Other",3240
1999,"Region 2","Other",3300
2000,"Region 2","Other",3360
2001,"Region 2","Other",3420
2002,"Region 2","Other",3480
2003,"Region 2","Other",3540
2004,"Region 2","Other",3600
2005,"Region 2","Other",3660
2006,"Region 2","Other",3720
2007,"Region 2","Other",3780
2008,"Region 2","Other",3840
2009,"Region 2","Other",3900
2010,"Region 2","Other",3960
2011,"Region 2","Other",4020
2012,"Region 2","Other",4080
2013,"Region 2","Other",4140
2014,"Region 2","Other",4200
2015,"Region 2","Other",4260
2016,"Region 2","Other",4320
2017,"Region 2","Other",4380
2018,"Region 2","Other",4440
2019,"Region 2","Other",4500
2020,"Region 2","Other",4560
2021,"Region 2","Other",4620
2022,"Region 2","Other",4680
