"time","group","facet","metric","value","unit","definition","label","axis"
2016,"A","all","spawning_biomass",1209629.13067211,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2017,"A","all","spawning_biomass",1179763.28102273,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2018,"A","all","spawning_biomass",1150634.82182853,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2019,"A","all","spawning_biomass",1122225.54685432,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2020,"A","all","spawning_biomass",1094517.69937844,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2001,"B","all","spawning_biomass",1920000,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2002,"B","all","spawning_biomass",1872595.0310944,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2003,"B","all","spawning_biomass",1826360.49504137,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2004,"B","all","spawning_biomass",1781267.49375082,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2005,"B","all","spawning_biomass",1737287.84262904,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2006,"B","all","spawning_biomass",1694394.05296242,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2007,"B","all","spawning_biomass",1652559.31473611,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2008,"B","all","spawning_biomass",1611757.47987688,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2009,"B","all","spawning_biomass",1571963.04590973,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2010,"B","all","spawning_biomass",1533151.140018,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2011,"B","all","spawning_biomass",1495297.5034971,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2012,"B","all","spawning_biomass",1458378.47659194,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2013,"B","all","spawning_biomass",1422370.9837089,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2014,"B","all","spawning_biomass",1387252.51899278,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2015,"B","all","spawning_biomass",1353001.13225993,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2016,"B","all","spawning_biomass",1319595.41527867,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2017,"B","all","spawning_biomass",1287014.48838843,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2018,"B","all","spawning_biomass",1255237.98744931,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2019,"B","all","spawning_biomass",1224246.0511138,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2020,"B","all","spawning_biomass",1194019.30841284,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2001,"A","all","recruitment",8.8e+07,"fish","Illustrative recruitment","Recruitment","steepness"
2002,"A","all","recruitment",85827272.2584933,"fish","Illustrative recruitment","Recruitment","steepness"
2003,"A","all","recruitment",83708189.3560628,"fish","Illustrative recruitment","Recruitment","steepness"
2004,"A","all","recruitment",81641426.7969127,"fish","Illustrative recruitment","Recruitment","steepness"
2005,"A","all","recruitment",79625692.7871644,"fish","Illustrative recruitment","Recruitment","steepness"
2006,"A","all","recruitment",77659727.4274444,"fish","Illustrative recruitment","Recruitment","steepness"
2007,"A","all","recruitment",75742301.9254051,"fish","Illustrative recruitment","Recruitment","steepness"
2008,"A","all","recruitment",73872217.8276903,"fish","Illustrative recruitment","Recruitment","steepness"
2009,"A","all","recruitment",72048306.2708624,"fish","Illustrative recruitment","Recruitment","steepness"
2010,"A","all","recruitment",70269427.2508252,"fish","Illustrative recruitment","Recruitment","steepness"
2011,"A","all","recruitment",68534468.9102836,"fish","Illustrative recruitment","Recruitment","steepness"
2012,"A","all","recruitment",66842346.8437972,"fish","Illustrative recruitment","Recruitment","steepness"
2013,"A","all","recruitment",65192003.4199912,"fish","Illustrative recruitment","Recruitment","steepness"
2014,"A","all","recruitment",63582407.1205024,"fish","Illustrative recruitment","Recruitment","steepness"
2015,"A","all","recruitment",62012551.8952468,"fish","Illustrative recruitment","Recruitment","steepness"
2016,"A","all","recruitment",60481456.5336056,"fish","Illustrative recruitment","Recruitment","steepness"
2017,"A","all","recruitment",58988164.0511363,"fish","Illustrative recruitment","Recruitment","steepness"
2018,"A","all","recruitment",57531741.0914266,"fish","Illustrative recruitment","Recruitment","steepness"
2019,"A","all","recruitment",56111277.3427161,"fish","Illustrative recruitment","Recruitment","steepness"
2020,"A","all","recruitment",54725884.9689218,"fish","Illustrative recruitment","Recruitment","steepness"
2001,"B","all","recruitment",9.6e+07,"fish","Illustrative recruitment","Recruitment","steepness"
2002,"B","all","recruitment",93629751.5547199,"fish","Illustrative recruitment","Recruitment","steepness"
2003,"B","all","recruitment",91318024.7520685,"fish","Illustrative recruitment","Recruitment","steepness"
2004,"B","all","recruitment",89063374.6875411,"fish","Illustrative recruitment","Recruitment","steepness"
2005,"B","all","recruitment",86864392.1314521,"fish","Illustrative recruitment","Recruitment","steepness"
2006,"B","all","recruitment",84719702.6481212,"fish","Illustrative recruitment","Recruitment","steepness"
2007,"B","all","recruitment",82627965.7368056,"fish","Illustrative recruitment","Recruitment","steepness"
2008,"B","all","recruitment",80587873.9938439,"fish","Illustrative recruitment","Recruitment","steepness"
2009,"B","all","recruitment",78598152.2954863,"fish","Illustrative recruitment","Recruitment","steepness"
2010,"B","all","recruitment",76657557.0009002,"fish","Illustrative recruitment","Recruitment","steepness"
2011,"B","all","recruitment",74764875.1748549,"fish","Illustrative recruitment","Recruitment","steepness"
2012,"B","all","recruitment",72918923.829597,"fish","Illustrative recruitment","Recruitment","steepness"
2013,"B","all","recruitment",71118549.1854449,"fish","Illustrative recruitment","Recruitment","steepness"
2014,"B","all","recruitment",69362625.9496389,"fish","Illustrative recruitment","Recruitment","steepness"
2015,"B","all","recruitment",67650056.6129965,"fish","Illustrative recruitment","Recruitment","steepness"
2016,"B","all","recruitment",65979770.7639333,"fish","Illustrative recruitment","Recruitment","steepness"
2017,"B","all","recruitment",64350724.4194214,"fish","Illustrative recruitment","Recruitment","steepness"
2018,"B","all","recruitment",62761899.3724653,"fish","Illustrative recruitment","Recruitment","steepness"
2019,"B","all","recruitment",61212302.5556902,"fish","Illustrative recruitment","Recruitment","steepness"
2020,"B","all","recruitment",59700965.4206419,"fish","Illustrative recruitment","Recruitment","steepness"
2001,"A","all","fishing_mortality",0.264,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2002,"A","all","fishing_mortality",0.25748181677548,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2003,"A","all","fishing_mortality",0.251124568068189,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2004,"A","all","fishing_mortality",0.244924280390738,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2005,"A","all","fishing_mortality",0.238877078361493,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2006,"A","all","fishing_mortality",0.232979182282333,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2007,"A","all","fishing_mortality",0.227226905776215,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2008,"A","all","fishing_mortality",0.221616653483071,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2009,"A","all","fishing_mortality",0.216144918812587,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2010,"A","all","fishing_mortality",0.210808281752476,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2011,"A","all","fishing_mortality",0.205603406730851,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2012,"A","all","fishing_mortality",0.200527040531392,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2013,"A","all","fishing_mortality",0.195576010259974,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2014,"A","all","fishing_mortality",0.190747221361507,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2015,"A","all","fishing_mortality",0.18603765568574,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2016,"A","all","fishing_mortality",0.181444369600817,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2017,"A","all","fishing_mortality",0.176964492153409,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2018,"A","all","fishing_mortality",0.17259522327428,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2019,"A","all","fishing_mortality",0.168333832028148,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2020,"A","all","fishing_mortality",0.164177654906765,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2001,"B","all","fishing_mortality",0.288,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2002,"B","all","fishing_mortality",0.28088925466416,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2003,"B","all","fishing_mortality",0.273954074256206,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2004,"B","all","fishing_mortality",0.267190124062623,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2005,"B","all","fishing_mortality",0.260593176394356,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2006,"B","all","fishing_mortality",0.254159107944363,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2007,"B","all","fishing_mortality",0.247883897210417,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2008,"B","all","fishing_mortality",0.241763621981532,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2009,"B","all","fishing_mortality",0.235794456886459,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2010,"B","all","fishing_mortality",0.229972671002701,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2011,"B","all","fishing_mortality",0.224294625524565,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2012,"B","all","fishing_mortality",0.218756771488791,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2013,"B","all","fishing_mortality",0.213355647556335,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2014,"B","all","fishing_mortality",0.208087877848917,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2015,"B","all","fishing_mortality",0.202950169838989,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2016,"B","all","fishing_mortality",0.1979393122918,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2017,"B","all","fishing_mortality",0.193052173258264,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2018,"B","all","fishing_mortality",0.188285698117396,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2019,"B","all","fishing_mortality",0.183636907667071,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2020,"B","all","fishing_mortality",0.179102896261926,"per year","Illustrative fishing_mortality","Fishing mortality","steepness"
2001,"A","all","dynamic_spawning_depletion",0.88,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2002,"A","all","dynamic_spawning_depletion",0.858272722584933,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2003,"A","all","dynamic_spawning_depletion",0.837081893560628,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2004,"A","all","dynamic_spawning_depletion",0.816414267969127,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2005,"A","all","dynamic_spawning_depletion",0.796256927871644,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2006,"A","all","dynamic_spawning_depletion",0.776597274274444,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2007,"A","all","dynamic_spawning_depletion",0.757423019254051,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2008,"A","all","dynamic_spawning_depletion",0.738722178276903,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2009,"A","all","dynamic_spawning_depletion",0.720483062708624,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2010,"A","all","dynamic_spawning_depletion",0.702694272508252,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2011,"A","all","dynamic_spawning_depletion",0.685344689102836,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2012,"A","all","dynamic_spawning_depletion",0.668423468437972,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2013,"A","all","dynamic_spawning_depletion",0.651920034199912,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2014,"A","all","dynamic_spawning_depletion",0.635824071205024,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2015,"A","all","dynamic_spawning_depletion",0.620125518952468,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2016,"A","all","dynamic_spawning_depletion",0.604814565336056,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2017,"A","all","dynamic_spawning_depletion",0.589881640511363,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2018,"A","all","dynamic_spawning_depletion",0.575317410914266,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2019,"A","all","dynamic_spawning_depletion",0.561112773427161,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2020,"A","all","dynamic_spawning_depletion",0.547258849689218,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2001,"B","all","dynamic_spawning_depletion",0.96,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2002,"B","all","dynamic_spawning_depletion",0.936297515547199,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2003,"B","all","dynamic_spawning_depletion",0.913180247520685,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2004,"B","all","dynamic_spawning_depletion",0.890633746875411,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2005,"B","all","dynamic_spawning_depletion",0.868643921314521,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2006,"B","all","dynamic_spawning_depletion",0.847197026481212,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2007,"B","all","dynamic_spawning_depletion",0.826279657368056,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2008,"B","all","dynamic_spawning_depletion",0.805878739938439,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2009,"B","all","dynamic_spawning_depletion",0.785981522954863,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2010,"B","all","dynamic_spawning_depletion",0.766575570009002,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2011,"B","all","dynamic_spawning_depletion",0.747648751748549,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2012,"B","all","dynamic_spawning_depletion",0.72918923829597,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2013,"B","all","dynamic_spawning_depletion",0.711185491854449,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2014,"B","all","dynamic_spawning_depletion",0.693626259496389,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2015,"B","all","dynamic_spawning_depletion",0.676500566129965,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2016,"B","all","dynamic_spawning_depletion",0.659797707639333,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2017,"B","all","dynamic_spawning_depletion",0.643507244194214,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2018,"B","all","dynamic_spawning_depletion",0.627618993724653,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2019,"B","all","dynamic_spawning_depletion",0.612123025556902,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2020,"B","all","dynamic_spawning_depletion",0.597009654206419,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","natural-mortality"
2001,"A","all","spawning_biomass",1760000,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2002,"A","all","spawning_biomass",1716545.44516987,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2003,"A","all","spawning_biomass",1674163.78712126,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2004,"A","all","spawning_biomass",1632828.53593825,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2005,"A","all","spawning_biomass",1592513.85574329,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2006,"A","all","spawning_biomass",1553194.54854889,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2007,"A","all","spawning_biomass",1514846.0385081,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2008,"A","all","spawning_biomass",1477444.35655381,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2009,"A","all","spawning_biomass",1440966.12541725,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2010,"A","all","spawning_biomass",1405388.5450165,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2011,"A","all","spawning_biomass",1370689.37820567,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2012,"A","all","spawning_biomass",1336846.93687594,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2013,"A","all","spawning_biomass",1303840.06839982,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2014,"A","all","spawning_biomass",1271648.14241005,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2015,"A","all","spawning_biomass",1240251.03790494,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2016,"A","all","spawning_biomass",1209629.13067211,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2017,"A","all","spawning_biomass",1179763.28102273,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2018,"A","all","spawning_biomass",1150634.82182853,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2019,"A","all","spawning_biomass",1122225.54685432,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2020,"A","all","spawning_biomass",1094517.69937844,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2001,"B","all","spawning_biomass",1920000,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2002,"B","all","spawning_biomass",1872595.0310944,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2003,"B","all","spawning_biomass",1826360.49504137,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2004,"B","all","spawning_biomass",1781267.49375082,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2005,"B","all","spawning_biomass",1737287.84262904,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2006,"B","all","spawning_biomass",1694394.05296242,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2007,"B","all","spawning_biomass",1652559.31473611,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2008,"B","all","spawning_biomass",1611757.47987688,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2009,"B","all","spawning_biomass",1571963.04590973,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2010,"B","all","spawning_biomass",1533151.140018,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2011,"B","all","spawning_biomass",1495297.5034971,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2012,"B","all","spawning_biomass",1458378.47659194,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2013,"B","all","spawning_biomass",1422370.9837089,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2014,"B","all","spawning_biomass",1387252.51899278,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2015,"B","all","spawning_biomass",1353001.13225993,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2016,"B","all","spawning_biomass",1319595.41527867,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2017,"B","all","spawning_biomass",1287014.48838843,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2018,"B","all","spawning_biomass",1255237.98744931,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2019,"B","all","spawning_biomass",1224246.0511138,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2020,"B","all","spawning_biomass",1194019.30841284,"t","Illustrative spawning_biomass","Spawning potential","natural-mortality"
2001,"A","all","recruitment",8.8e+07,"fish","Illustrative recruitment","Recruitment","natural-mortality"
