"slot","id","kind","family","source","variant","feature","requirements","caption","status","reason","exported"
"fig-catch-by-fishery-ps","catch-by-fishery-ps","figure","fit","catch_fits","purse_seine","","time;observed;predicted;group;unit;gear_family","Observed and predicted catch for purse-seine fisheries.","missing_data","Supply tables$catch_fits for purse_seine",FALSE
"fig-catch-by-fishery-other","catch-by-fishery-other","figure","fit","catch_fits","other","","time;observed;predicted;group;unit;gear_family","Observed and predicted catch for other fisheries.","missing_data","Supply tables$catch_fits for other",FALSE
"fig-cpue-nom-maps","cpue-nom-maps","figure","spatial","spatial_index","index","spatial","longitude;latitude;group;value;unit","Spatial distribution of nominal abundance indices.","missing_data","Supply tables$spatial_index for index",FALSE
"fig-tag-displacement-map","tag-displacement-map","figure","displacement","tag_displacements","","tagging","release_longitude;release_latitude;recapture_longitude;recapture_latitude;programme;count","Tag-release and recapture displacements by programme.","missing_data","Supply tables$tag_displacements",FALSE
"fig-tag-release-recapt","tag-release-recapt","figure","tag_release","tag_releases","","tagging","time;programme;region;released;recaptured","Tag releases, recaptures and recapture fractions by cohort.","missing_data","Supply tables$tag_releases",FALSE
"fig-growth-curve","growth-curve","figure","core","model outputs","","","","Length at age and supplied growth observations.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-maturity-ogive","maturity-ogive","figure","core","model outputs","","","","Model reproductive schedules at age.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-natm-at-age","natm-at-age","figure","core","model outputs","","","","Natural mortality at age.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-stepwise-panel","stepwise-panel","figure","core","model outputs","","","","Population trajectories across model-development steps.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-stepwise-panel-reduce","stepwise-panel-reduce","figure","series","selected_trajectories","","","time;metric;group;facet;value;unit;definition","Selected model-development trajectories.","missing_data","Supply tables$selected_trajectories",FALSE
"fig-cpue-fit-residuals","cpue-fit-residuals","figure","index_fit","index_fits","","","time;observed;predicted;group;unit","Abundance-index fits and log residuals by series.","missing_data","Supply tables$index_fits",FALSE
"fig-length-fit-by-fishery","length-fit-by-fishery","figure","composition","length_distributions","fishery","","bin;observed;predicted;group;bin_unit;unit;scope","Length-composition fits by fishery.","missing_data","Supply tables$length_distributions for fishery",FALSE
"fig-length-fit-by-region","length-fit-by-region","figure","composition","length_distributions","region","","bin;observed;predicted;group;bin_unit;unit;scope","Length-composition fits by region.","missing_data","Supply tables$length_distributions for region",FALSE
"fig-length-fit-timeseries-ll","length-fit-timeseries-ll","figure","size_summary","length_summaries","longline","","time;observed;predicted;group;unit;statistic;gear_family","Observed and predicted length summaries for longline fisheries.","missing_data","Supply tables$length_summaries for longline",FALSE
"fig-length-fit-timeseries-other","length-fit-timeseries-other","figure","size_summary","length_summaries","other","","time;observed;predicted;group;unit;statistic;gear_family","Observed and predicted length summaries for other fisheries.","missing_data","Supply tables$length_summaries for other",FALSE
"fig-tag-attrition-programmes","tag-attrition-programmes","figure","fit","tag_attrition","","tagging","time;observed;predicted;group;unit;time_unit","Observed and predicted tag recaptures by time at liberty.","missing_data","Supply tables$tag_attrition",FALSE
"fig-tag-recapture-fit-years-groups","tag-recapture-fit-years-groups","figure","fit","tag_fits","","tagging","time;observed;predicted;group;unit","Observed and predicted tag recaptures through time.","missing_data","Supply tables$tag_fits",FALSE
"fig-tag-reporting-rates-active","tag-reporting-rates-active","figure","reporting","tag_reporting","","tagging","group;rate;estimated","Estimated tag-reporting rates and supplied priors.","missing_data","Supply tables$tag_reporting",FALSE
"fig-caal-fits-regions","caal-fits-regions","figure","conditional","conditional_age","","","condition_bin;bin;observed;predicted;group;bin_unit;condition_unit","Observed and predicted age distributions conditional on length.","missing_data","Supply tables$conditional_age",FALSE
"fig-jitter-scatter-plot","jitter-scatter-plot","figure","core","model outputs","","","","Objectives and maximum gradients across starting-value trials.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-jitter-derived-values-diag-panel","jitter-derived-values-diag-panel","figure","core","model outputs","","","","Population trajectories across starting-value trials.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-jitter-regional-depletion","jitter-regional-depletion","figure","core","model outputs","","","","Spawning depletion by region across starting-value trials.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-selftest-recovery","selftest-recovery","figure","core","model outputs","","","","Recovery errors relative to the generating model.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-selftest-time-series","selftest-time-series","figure","core","model outputs","","","","Generating and refitted population trajectories.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-retro-analysis","retro-analysis","figure","core","model outputs","","","","Population trajectories for the reference fit and retrospective peels.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-diag-profile-data-sources","diag-profile-data-sources","figure","profile","profiles","total","","parameter;x;objective;component;group;unit;domain","Total objective and component profiles.","missing_data","Supply tables$profiles for total",FALSE
"fig-diag-profile-data-cpue","diag-profile-data-cpue","figure","profile","profiles","index","","parameter;x;objective;component;group;unit;domain","Objective profiles for abundance-index components.","missing_data","Supply tables$profiles for index",FALSE
"fig-diag-profile-data-lf","diag-profile-data-lf","figure","profile","profiles","length","","parameter;x;objective;component;group;unit;domain","Objective profiles for length-composition components.","missing_data","Supply tables$profiles for length",FALSE
"fig-diag-profile-data-caal","diag-profile-data-caal","figure","profile","profiles","conditional_age","","parameter;x;objective;component;group;unit;domain","Objective profiles for conditional age-at-length components.","missing_data","Supply tables$profiles for conditional_age",FALSE
"fig-diag-profile-data-tag-prog","diag-profile-data-tag-prog","figure","profile","profiles","tag","","parameter;x;objective;component;group;unit;domain","Objective profiles for tagging programmes.","missing_data","Supply tables$profiles for tag",FALSE
"fig-aspm-comparison","aspm-comparison","figure","series","aspm_trajectories","","","time;metric;group;facet;value;unit;definition","Diagnostic and production-model trajectories.","missing_data","Supply tables$aspm_trajectories",FALSE
"fig-diag-time-series","diag-time-series","figure","core","model outputs","","","","Estimated population trajectories.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-select-age","select-age","figure","core","model outputs","","","","Selectivity at age by fishery.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-select-length","select-length","figure","curve","selectivity_length","","","x;value;group;facet;x_label;x_unit;label;unit;definition","Selectivity at length by fishery.","missing_data","Supply tables$selectivity_length",FALSE
"fig-season-movement-coeff","season-movement-coeff","figure","core","model outputs","","","","Movement probabilities among model regions.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-recruitment-annual","recruitment-annual","figure","recruitment","recruitment","annual","","time;metric;group;facet;value;unit;definition","Annual recruitment.","missing_data","Supply tables$recruitment for annual",FALSE
"fig-recruitment-regions","recruitment-regions","figure","recruitment","recruitment","regional","","time;metric;group;facet;value;unit;definition","Recruitment by model region.","missing_data","Supply tables$recruitment for regional",FALSE
"fig-stock-rr","stock-rr","figure","curve","stock_recruitment","","","x;value;group;facet;x_label;x_unit;label;unit;definition","Stock–recruitment observations and fitted relationship.","missing_data","Supply tables$stock_recruitment",FALSE
"fig-timeseries-model-regions-stack","timeseries-model-regions-stack","figure","stack","regional_shares","","","time;metric;group;facet;value;unit;definition","Regional shares of population quantities.","missing_data","Supply tables$regional_shares",FALSE
"fig-total-biomass-with-without-fishing","total-biomass-with-without-fishing","figure","core","model outputs","","","","Biomass under estimated fishing and the no-fishing counterfactual.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-juv-adult-F","juv-adult-F","figure","series","stage_fishing_mortality","","","time;metric;group;facet;value;unit;definition","Fishing mortality by life stage and region.","missing_data","Supply tables$stage_fishing_mortality",FALSE
"fig-sensitivity-steepness","sensitivity-steepness","figure","series","sensitivity","steepness","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to steepness.","missing_data","Supply tables$sensitivity for steepness",FALSE
"fig-sensitivity-natural-mortality","sensitivity-natural-mortality","figure","series","sensitivity","natural-mortality","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to natural mortality.","missing_data","Supply tables$sensitivity for natural-mortality",FALSE
"fig-sensitivity-CAAL","sensitivity-CAAL","figure","series","sensitivity","CAAL","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to conditional age-at-length data.","missing_data","Supply tables$sensitivity for CAAL",FALSE
"fig-sensitivity-effort-creep","sensitivity-effort-creep","figure","series","sensitivity","effort-creep","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to effort creep.","missing_data","Supply tables$sensitivity for effort-creep",FALSE
"fig-sensitivity-regional-scaling","sensitivity-regional-scaling","figure","series","sensitivity","regional-scaling","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to regional scaling.","missing_data","Supply tables$sensitivity for regional-scaling",FALSE
"fig-sensitivity-tag-mixing-periods-Kstatistic-cutoff","sensitivity-tag-mixing-periods-Kstatistic-cutoff","figure","series","sensitivity","tag-mixing-periods-Kstatistic-cutoff","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to tag-mixing periods and the K-statistic cutoff.","missing_data","Supply tables$sensitivity for tag-mixing-periods-Kstatistic-cutoff",FALSE
"fig-sensitivity-premixing-tag-reporting-rate","sensitivity-premixing-tag-reporting-rate","figure","series","sensitivity","premixing-tag-reporting-rate","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to pre-mixing tag-reporting rates.","missing_data","Supply tables$sensitivity for premixing-tag-reporting-rate",FALSE
"fig-sensitivity-tag-overdispersion","sensitivity-tag-overdispersion","figure","series","sensitivity","tag-overdispersion","","time;metric;group;facet;value;unit;definition;axis","Sensitivity of population trajectories to tag overdispersion.","missing_data","Supply tables$sensitivity for tag-overdispersion",FALSE
"fig-ensemble-design-retention","ensemble-design-retention","figure","design","ensemble_inputs","","","model;axis;value;retained;type","Planned and retained model inputs.","missing_data","Supply tables$ensemble_inputs",FALSE
"fig-management-uncertainty-continuous-axes-steep-M","management-uncertainty-continuous-axes-steep-M","figure","distribution","management_draws","continuous","","metric;value;weight;axis;level;panel_set;unit;definition","Weighted distributions of management quantities by design setting.","missing_data","Supply tables$management_draws for continuous",FALSE
"fig-management-uncertainty-discrete-axes-tau-mix","management-uncertainty-discrete-axes-tau-mix","figure","distribution","management_draws","tag_mixing","","metric;value;weight;axis;level;panel_set;unit;definition","Weighted distributions of management quantities by design setting.","missing_data","Supply tables$management_draws for tag_mixing",FALSE
"fig-management-uncertainty-discrete-axes-tag-rep-effcrp","management-uncertainty-discrete-axes-tag-rep-effcrp","figure","distribution","management_draws","reporting_effort","","metric;value;weight;axis;level;panel_set;unit;definition","Weighted distributions of management quantities by design setting.","missing_data","Supply tables$management_draws for reporting_effort",FALSE
"fig-ensemble-individual","ensemble-individual","figure","core","model outputs","","","","Population trajectories across ensemble models.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-ensemble-est-uncert-ribbon","ensemble-est-uncert-ribbon","figure","interval","trajectory_intervals","","","time;metric;group;facet;value;unit;definition;lower;upper;probability;uncertainty","Population trajectories with supplied uncertainty intervals.","missing_data","Supply tables$trajectory_intervals",FALSE
"fig-combined-kobe-majuro-status","combined-kobe-majuro-status","figure","status","stock_status","terminal","","time;group;relative_biomass;relative_f;depletion;depletion_limit;weight","Stock status relative to the supplied spawning and fishing reference points.","missing_data","Supply tables$stock_status for terminal",FALSE
"fig-time-dynamic-kobe-majuro","time-dynamic-kobe-majuro","figure","status","stock_status","trajectory","","time;group;relative_biomass;relative_f;depletion;depletion_limit;weight","Stock status relative to the supplied spawning and fishing reference points.","missing_data","Supply tables$stock_status for trajectory",FALSE
"fig-dynamic-msy","dynamic-msy","figure","series","dynamic_yield","","","time;metric;group;facet;value;unit;definition","Dynamic maximum sustainable yield and catch.","missing_data","Supply tables$dynamic_yield",FALSE
"fig-impact-region","impact-region","figure","stack","fishery_impacts","","","time;metric;group;facet;value;unit;definition","Contributions of fishing groups to reduced spawning potential.","missing_data","Supply tables$fishery_impacts",FALSE
"fig-yield","yield","figure","curve","yield_curve","","","x;value;group;facet;x_label;x_unit;label;unit;definition","Equilibrium yield across fishing-mortality multipliers.","missing_data","Supply tables$yield_curve",FALSE
"fig-projection-stock-trajectories","projection-stock-trajectories","figure","interval","projections","","","time;metric;group;facet;value;unit;definition;lower;upper;probability;uncertainty","Historical and projected quantities by scenario with supplied uncertainty intervals.","missing_data","Supply tables$projections",FALSE
"fig-hindcast-analysis","hindcast-analysis","figure","core","model outputs","","","","Withheld observations and predictions from successive training cutoffs.","available","",TRUE
"tbl-hindcast-skill","hindcast-skill","table","table","hindcast_summary","","","","Held-out prediction bias (predicted minus observed), RMSE and MASE by series and forecast lead. N counts scored forecasts; MASE uses each cutoff's training naive-error scale.","available","",TRUE
